sample_id,essay_set,student_answer,human_score,score_min,score_max,question,reference_answer,rubric,subject
es1_1669,1,"Number 2, pour vinegar in eatch of the four seperate not identical containers. This can help determen the mass of eatch item and help with the experement from what we read, after placing samples into the container then letting it sit will determen the mass.",0,0,3,"After reading the group's procedure, describe what additional information you would need in order to replicate the experiment. Make sure to include at least three pieces of information.","Needed information includes: the type of organism studied, the ## or amount of each organism used, the size of the container/environment, the type of food, the amount of food, the daily temperature range, the light cycle conditions, the length of the experiment.","Score 3: Response demonstrates complete understanding — provides 3+ specific pieces of missing information with clear scientific reasoning.
Score 2: Response demonstrates adequate understanding — provides 1-2 specific pieces of missing information.
Score 1: Response demonstrates partial understanding — provides vague or incomplete information.
Score 0: Response demonstrates no understanding or is off-topic.",Science — Interdependence in Ecosystems
es1_488,1,"In order to replicate the experiment, i would need to pouring, i  sample into more than just one container, instead of rinsing each sample with distilled water, wait 48 hours instead of allowing the samples to sit and dry for 30 minutes, let it dry for hour.",0,0,3,"After reading the group's procedure, describe what additional information you would need in order to replicate the experiment. Make sure to include at least three pieces of information.","Needed information includes: the type of organism studied, the ## or amount of each organism used, the size of the container/environment, the type of food, the amount of food, the daily temperature range, the light cycle conditions, the length of the experiment.","Score 3: Response demonstrates complete understanding — provides 3+ specific pieces of missing information with clear scientific reasoning.
Score 2: Response demonstrates adequate understanding — provides 1-2 specific pieces of missing information.
Score 1: Response demonstrates partial understanding — provides vague or incomplete information.
Score 0: Response demonstrates no understanding or is off-topic.",Science — Interdependence in Ecosystems
es1_432,1,"After reading the groups procedure, I think they should have added record the data, get materials, observe the expariment and repeat expariment.",0,0,3,"After reading the group's procedure, describe what additional information you would need in order to replicate the experiment. Make sure to include at least three pieces of information.","Needed information includes: the type of organism studied, the ## or amount of each organism used, the size of the container/environment, the type of food, the amount of food, the daily temperature range, the light cycle conditions, the length of the experiment.","Score 3: Response demonstrates complete understanding — provides 3+ specific pieces of missing information with clear scientific reasoning.
Score 2: Response demonstrates adequate understanding — provides 1-2 specific pieces of missing information.
Score 1: Response demonstrates partial understanding — provides vague or incomplete information.
Score 0: Response demonstrates no understanding or is off-topic.",Science — Interdependence in Ecosystems
es1_477,1,"In order to deplicate this experiment, we would need to know how much vinegar the people used. If we don,t know and we use more or less, it could change the experiments outcome. Also , we would need to know all of the tools they used so that we could use the same ones. And finally, it would help if they measured the mass inbetween the 24 hours.",1,0,3,"After reading the group's procedure, describe what additional information you would need in order to replicate the experiment. Make sure to include at least three pieces of information.","Needed information includes: the type of organism studied, the ## or amount of each organism used, the size of the container/environment, the type of food, the amount of food, the daily temperature range, the light cycle conditions, the length of the experiment.","Score 3: Response demonstrates complete understanding — provides 3+ specific pieces of missing information with clear scientific reasoning.
Score 2: Response demonstrates adequate understanding — provides 1-2 specific pieces of missing information.
Score 1: Response demonstrates partial understanding — provides vague or incomplete information.
Score 0: Response demonstrates no understanding or is off-topic.",Science — Interdependence in Ecosystems
es1_112,1,I would need to know what materials i am getting to begin this experiment. What should i be looking for when experiment is going on? How do i determine the mas of each sement.,1,0,3,"After reading the group's procedure, describe what additional information you would need in order to replicate the experiment. Make sure to include at least three pieces of information.","Needed information includes: the type of organism studied, the ## or amount of each organism used, the size of the container/environment, the type of food, the amount of food, the daily temperature range, the light cycle conditions, the length of the experiment.","Score 3: Response demonstrates complete understanding — provides 3+ specific pieces of missing information with clear scientific reasoning.
Score 2: Response demonstrates adequate understanding — provides 1-2 specific pieces of missing information.
Score 1: Response demonstrates partial understanding — provides vague or incomplete information.
Score 0: Response demonstrates no understanding or is off-topic.",Science — Interdependence in Ecosystems
es1_929,1,This procedure is not very specific in its description. For one it does not tell you how to find the mass of the four different samples. It does not indicate the amount of vinegar to put in the container or how much of the sample. It also does not indicate to find the difference in the new mass at the end which is the results that you are really looking for.,1,0,3,"After reading the group's procedure, describe what additional information you would need in order to replicate the experiment. Make sure to include at least three pieces of information.","Needed information includes: the type of organism studied, the ## or amount of each organism used, the size of the container/environment, the type of food, the amount of food, the daily temperature range, the light cycle conditions, the length of the experiment.","Score 3: Response demonstrates complete understanding — provides 3+ specific pieces of missing information with clear scientific reasoning.
Score 2: Response demonstrates adequate understanding — provides 1-2 specific pieces of missing information.
Score 1: Response demonstrates partial understanding — provides vague or incomplete information.
Score 0: Response demonstrates no understanding or is off-topic.",Science — Interdependence in Ecosystems
es1_861,1,"After reading the group's procedure I think that they should say in their chart how much vinegar they put in the identical containers. Also they should put in the chart the time difference or did they do it at the same time; and what kind of containers did they use ? Beaker, test tube, a regular container ?",2,0,3,"After reading the group's procedure, describe what additional information you would need in order to replicate the experiment. Make sure to include at least three pieces of information.","Needed information includes: the type of organism studied, the ## or amount of each organism used, the size of the container/environment, the type of food, the amount of food, the daily temperature range, the light cycle conditions, the length of the experiment.","Score 3: Response demonstrates complete understanding — provides 3+ specific pieces of missing information with clear scientific reasoning.
Score 2: Response demonstrates adequate understanding — provides 1-2 specific pieces of missing information.
Score 1: Response demonstrates partial understanding — provides vague or incomplete information.
Score 0: Response demonstrates no understanding or is off-topic.",Science — Interdependence in Ecosystems
es1_771,1,If you were going to replicate the experiment you would also need to know: ^p What the samples are ( so you could use them) ^p How much vinegar to put into the containers. ^p What materials you need to gather without the above information you couidn't properly replicate the experiment.,2,0,3,"After reading the group's procedure, describe what additional information you would need in order to replicate the experiment. Make sure to include at least three pieces of information.","Needed information includes: the type of organism studied, the ## or amount of each organism used, the size of the container/environment, the type of food, the amount of food, the daily temperature range, the light cycle conditions, the length of the experiment.","Score 3: Response demonstrates complete understanding — provides 3+ specific pieces of missing information with clear scientific reasoning.
Score 2: Response demonstrates adequate understanding — provides 1-2 specific pieces of missing information.
Score 1: Response demonstrates partial understanding — provides vague or incomplete information.
Score 0: Response demonstrates no understanding or is off-topic.",Science — Interdependence in Ecosystems
es1_244,1,Some additional information the students come of included could be what type of materials were they putting in. Another piece of information is how much vinegar was put into each container. Another piece of information when to or how much was the samples weighed and how you weigh it.,2,0,3,"After reading the group's procedure, describe what additional information you would need in order to replicate the experiment. Make sure to include at least three pieces of information.","Needed information includes: the type of organism studied, the ## or amount of each organism used, the size of the container/environment, the type of food, the amount of food, the daily temperature range, the light cycle conditions, the length of the experiment.","Score 3: Response demonstrates complete understanding — provides 3+ specific pieces of missing information with clear scientific reasoning.
Score 2: Response demonstrates adequate understanding — provides 1-2 specific pieces of missing information.
Score 1: Response demonstrates partial understanding — provides vague or incomplete information.
Score 0: Response demonstrates no understanding or is off-topic.",Science — Interdependence in Ecosystems
es1_824,1,"In order to replicate their experiment you would need additional information. First, they need to specity what the",3,0,3,"After reading the group's procedure, describe what additional information you would need in order to replicate the experiment. Make sure to include at least three pieces of information.","Needed information includes: the type of organism studied, the ## or amount of each organism used, the size of the container/environment, the type of food, the amount of food, the daily temperature range, the light cycle conditions, the length of the experiment.","Score 3: Response demonstrates complete understanding — provides 3+ specific pieces of missing information with clear scientific reasoning.
Score 2: Response demonstrates adequate understanding — provides 1-2 specific pieces of missing information.
Score 1: Response demonstrates partial understanding — provides vague or incomplete information.
Score 0: Response demonstrates no understanding or is off-topic.",Science — Interdependence in Ecosystems
