strategy,dimension,mean,std,count
few_shot_cot_rubric,accuracy,4.736,0.668,216
few_shot_cot_rubric,actionability,3.792,0.552,216
few_shot_cot_rubric,constructive_tone,2.778,0.963,216
few_shot_cot_rubric,pedagogical_alignment,4.375,0.737,216
few_shot_cot_rubric,specificity,2.606,1.038,216
few_shot_rubric,accuracy,4.139,1.22,216
few_shot_rubric,actionability,3.236,0.718,216
few_shot_rubric,constructive_tone,2.764,0.843,216
few_shot_rubric,pedagogical_alignment,4.088,0.645,216
few_shot_rubric,specificity,3.458,0.577,216
zero_shot,accuracy,4.5,0.818,216
zero_shot,actionability,3.06,0.58,216
zero_shot,constructive_tone,2.806,0.777,216
zero_shot,pedagogical_alignment,4.042,0.31,216
zero_shot,specificity,3.519,0.647,216
zero_shot_cot,accuracy,4.583,0.864,216
zero_shot_cot,actionability,2.764,0.718,216
zero_shot_cot,constructive_tone,3.139,0.715,216
zero_shot_cot,pedagogical_alignment,4.412,0.548,211
zero_shot_cot,specificity,2.324,0.943,216
